id,name,type,typecode,address,location,tel,pname,cityname,adname,business_area,photos,gridcode,biz_ext
B000A7H0F3,妙应寺白塔,风景名胜;风景名胜;寺庙道观,110205,阜成门内大街171号,"116.363323,39.925652",010-66166099;010-66160211,北京市,北京市,西城区,官园,"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A7H0F3/headerImg/8f2e4cdc8da36608701d974c0dff68a9_2048_2048_80.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A7H0F3/headerImg/336f408bf0dbaad3bfb98ac755187128_2048_2048_80.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A7H0F3/headerImg/a3dfca833c9286f2e3041a79c37179ad_2048_2048_80.jpg'}]",5916720920,"{'cost': [], 'opentime2': '周一关闭(法定节假日除外)；周二至周日09:00-17:00(16:30停止入园)；2026年2月16日 闭园一天', 'rating': '4.7', 'open_time': '09:00-17:00', 'ticket_ordering': '0'}"
B000A81CB2,天坛公园,风景名胜;公园广场;公园,110101,天坛东里甲1号,"116.410829,39.881913",010-67028866,北京市,北京市,东城区,[],"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/561ebdb222a6f17913f1bbd1062c3d93'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/d7027a05ce598752d0bf69423d80ac94'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/fd8fb0fe71533f8f26128272c73768e2'}]",5916635222,"{'cost': [], 'opentime2': '4月1日至10月31日:06:00-22:00(21:00停止入园),园中园08:00-18:00(17:30停止入园)；11月1日至3月31日:06:30-22:00(21:00停止入园),园中园08:00-17:00(16:30停止入园)', 'rating': '4.9', 'open_time': [], 'ticket_ordering': '0'}"
B000A8UR3U,前门大街,购物服务;特色商业街;特色商业街|风景名胜;风景名胜相关;旅游景点,061000|110000,小江胡同1号(前门地铁站G东南口步行320米),"116.403895,39.896152",010-58788222,北京市,北京市,东城区,珠市口,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/34231e4fb695d9aebac2a72575212a97'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/80f55ce37006188966ab11fae8dc11a5'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/b17c8a39b9cafd2b8161853595904149'}]",5916637210,"{'cost': [], 'opentime2': '周一至周日 00:00-24:00', 'rating': '4.8', 'open_time': '24小时营业', 'ticket_ordering': '0'}"
B000A645D9,恭王府博物馆,风景名胜;风景名胜;国家级景点,110202,前海西街17号,"116.386315,39.937222",010-83288149,北京市,北京市,西城区,[],"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/e242ed1956e6d775a8912cfd3934169b'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/9ef81776a4ba02ace199ad2c66f661ba'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/e137312e5780bda6cdfe5767f3ac9184'}]",5916732012,"{'cost': [], 'opentime2': '周二至周日08:30-17:00(16:10停止检票法定节假日除外),2026年2月16日至2月17日关闭', 'rating': '4.8', 'open_time': [], 'ticket_ordering': '0'}"
B000A84GDN,故宫博物院-午门,风景名胜;风景名胜;风景名胜,110200,东华门街道景山前街4号故宫博物院内(南侧),"116.397228,39.913582",010-85007063,北京市,北京市,东城区,[],"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/dcd78b35cb123744056c03072ecdea17'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/22a9f75062fb764a53ff0a19dc935a4f'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/a8e153f8730b5d5578ded486f03ee0cd'}]",5916639112,"{'cost': [], 'opentime2': '周二至周日 08:30-17:00，最晚16:10进入', 'rating': '3.8', 'open_time': '08:30-17:00', 'ticket_ordering': '0'}"
B000A840SB,中山公园,风景名胜;公园广场;公园,110101,中华路4号(天安门西侧),"116.394407,39.910707",010-66055431;12301,北京市,北京市,东城区,[],"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/4d1216ff3ef92137912db31aaacd3c5f'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/8456aec2327c026f940c81b400ddb44d'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/d712c5194b3096b8f24c7ee2116a5e6c'}]",5916639101,"{'cost': [], 'opentime2': '周一至周日 06:00-21:00', 'rating': '4.8', 'open_time': '06:00-21:00', 'ticket_ordering': '0'}"
B000A3BE77,北京鲁迅博物馆,风景名胜;风景名胜;红色景区,110210,阜城门内宫门口二条19号(阜成门地铁站B东北口步行260米),"116.358742,39.925693",010-50872677,北京市,北京市,西城区,官园,"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A3BE77/comment/dee99ffe35d2da87ec13a8820a320a4f_2048_2048_80.jpg'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/6aee1f2a85d110d1e6901225eed79ce4'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A3BE77/comment/content_media_external_file_108698_ss__1766376044191_97990232.jpg'}]",5916721802,"{'cost': [], 'opentime2': '周二至周日 09:00-17:00 最晚进入16:30；周一 全天关闭；逢周一闭馆，除国家法定节假日外，具体营业状态以当天开放情况为准', 'rating': '4.5', 'open_time': [], 'ticket_ordering': '0'}"
B000A7I99C,毛主席纪念堂,风景名胜;风景名胜;纪念馆,110204,前门东大街11号(天安门广场人民英雄纪念碑南面),"116.397815,39.902517",010-65132277,北京市,北京市,东城区,[],"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/67f80db8806f358b501c3ca920fede2d'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/033ecf056a9ecc489f7b64b55e82c36d'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/1b088b8aaac674ce4774cbab27a9a026'}]",5916638102,"{'cost': [], 'opentime2': [], 'rating': '4.6', 'open_time': [], 'ticket_ordering': '0'}"
B000A76B0A,首都博物馆,科教文化服务;博物馆;博物馆,140100,复兴门外大街16号,"116.342067,39.906412",010-63370491;010-63370492,北京市,北京市,西城区,月坛,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a77f0bbd578a6e932e98d939fec47ede'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d37ce8013a1e29f2046e8fba481da7ec'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/3f8bdd0d34ca343a32ad78e680fcc395'}]",5916628721,"{'cost': [], 'opentime2': '周一关闭(法定节假日除外)；周二至周日 09:00-19:00(16:00停止入馆)；2026年2月1日至2月28日 09:00-19:00(18:00停止入馆)；2026年2月16日闭馆一天，2026年2月17日 12:00-18:00', 'rating': '4.8', 'open_time': []}"
B000A9LFEH,景山公园-绮望楼,风景名胜;风景名胜;风景名胜,110200,什刹海街道景山西街44号(故宫后门对面)景山公园内(南侧),"116.396720,39.924029",010-64038098,北京市,北京市,西城区,[],"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A9LFEH/comment/content_media_external_file_1000026869_ss__1767533632970_94423019.jpg'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/c4e829574983636d8227d452dcb96072'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A9LFEH/comment/EEC0879C_7250_46FD_AEF2_15F8DBB0E726_L0_001_2016_1512_1742811128987_08869152.jpg'}]",5916730122,"{'cost': [], 'opentime2': '周一至周日 00:00-24:00', 'rating': '4.3', 'open_time': '24小时营业', 'ticket_ordering': '0'}"
B000A7J8IC,郑王府,风景名胜;风景名胜;风景名胜,110200,大木仓胡同35号,"116.370746,39.912048",[],北京市,北京市,西城区,西单,"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A7J8IC/comment/content_media_external_images_media_1000041197_ss__1735830096778_24889959.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A7J8IC/comment/0faad6f4138a7db0313f06a6ce572b74_2048_2048_80.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A7J8IC/comment/cf7446b6e85ca716d2e2b72bb124d6b4_2048_2048_80.jpg'}]",5916629911,"{'cost': [], 'opentime2': '01月01日至12月31日09:00-21:00停止入园:21:00', 'rating': '4.2', 'open_time': [], 'ticket_ordering': '0'}"
B000A9PISW,故宫博物院-神武门,风景名胜;风景名胜;国家级景点,110202,景山前街4号北京故宫博物馆,"116.396786,39.922305",010-85007421;010-85007938,北京市,北京市,东城区,[],"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/0ab8b692dcecca985c77c4986981e2d4'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/35477b96ae7d7d75ef64fe175b7f44ec'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/67e41b8254b7bfbfa1fb1e7c05d35dfb'}]",5916730122,"{'cost': [], 'opentime2': '周一至周日 08:30-16:30', 'rating': '4.3', 'open_time': '08:30-16:30', 'ticket_ordering': '0'}"
B0FFG8YDKK,天安门-城楼,风景名胜;风景名胜;国家级景点,110202,东长安街天安门(天安门东地铁站A西北入口步行290米),"116.397488,39.908717",010-63095718;010-86409660,北京市,北京市,东城区,[],"[{'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/057978fd8486e0a7406155b43b6ae13f'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/f09c1366b06eb5347d3e3e40e2b1462c'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/8d71622def4166cbe1d7968ae41bf7e7'}]",5916639102,"{'cost': [], 'opentime2': '11-01至03-31 周一至周日 08:00-16:00；04-01至10-31 周一至周日 08:30-16:30', 'rating': '4.4', 'open_time': '08:00-16:00 08:30-16:30', 'ticket_ordering': '0'}"
B0FFFRLTUT,天安门广场-国旗,风景名胜;风景名胜;风景名胜,110200,东华门街道景山前街4号天安门广场内(北侧),"116.397554,39.906928",010-63095745,北京市,北京市,东城区,[],"[{'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/179cea10d65c7e055f0483b200ea651d'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/default_poi/comment/4ebfec883cfe7572292c8168744fd08b_2048_2048_80.jpg'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/454475aed933bf9bd9dfdc2faa7f783a'}]",5916638122,"{'cost': [], 'opentime2': '周一至周日 00:00-24:00', 'rating': '4.7', 'open_time': '24小时营业', 'ticket_ordering': '0'}"
B0FFFAK3R4,敕建火德真君庙,风景名胜;风景名胜;寺庙道观,110205,地安门外大街77号(什刹海地铁站C口马路对面),"116.395569,39.937013",010-64008882;13269913499,北京市,北京市,西城区,[],"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0FFFAK3R4/headerImg/51b8e06b1e346842b1011973e4b1bd20_2048_2048_80.jpg'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/4d65708d870a530cf89a287d82c1340d'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/c8ae9938cc86af8918a15e3c0f3ad0ba'}]",5916732111,"{'cost': [], 'opentime2': '周一至周五 09:00-17:00；周六至周日 09:00-17:30', 'rating': '4.8', 'open_time': '09:00-17:30', 'ticket_ordering': '0'}"
B000A87IUX,北京动物园,风景名胜;公园广场;动物园,110102,西直门外大街137号,"116.336701,39.942105",010-68390274,北京市,北京市,西城区,展览路,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/8703169dc2eba03a5d9d7eaa38f570ad'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/4b15958afae912df9810236030bcb0ce'}, {'provider': [], 'title': '夏季', 'url': 'http://store.is.autonavi.com/showpic/4a1a43c22a0425072b33fd086a9e38e1'}]",5916723602,"{'cost': [], 'opentime2': '4月1日-10月31日:7:30-19:00,18:00停止入园，11月1日-3月31日:7:30-18:00,17:00停止入园', 'rating': '4.8', 'open_time': [], 'ticket_ordering': '0'}"
B000A7BC2S,中国美术馆,科教文化服务;博物馆;博物馆,140100,五四大街1号,"116.408939,39.925255",010-64006326;010-64011816,北京市,北京市,东城区,沙滩,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7bd6fc174fed670cf2ea3a6ffcfa303a'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/45f5465e2586f381321924003444933a'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/cfda6e6d564f6f02ab003817ce29deb0'}]",5916731202,"{'cost': [], 'opentime2': '周二至周日 09:00-17:00 最晚进入16:00；周一 全天关闭；周一例行闭馆（法定节假日除外）', 'rating': '4.8', 'open_time': '09:00-17:00'}"
B000A81CG6,什刹海-后海,风景名胜;风景名胜;风景名胜,110200,羊房胡同甲23-3号,"116.385260,39.943559",[],北京市,北京市,西城区,德胜门,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/95d18067ac2df18e5680fee70c7ae4e9'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/149e45137a4d1a213e75a95acb7afb2d'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/142f071bdea47da91b446e0fcb732afa'}]",5916733002,"{'cost': [], 'opentime2': '周一至周日 00:00-24:00', 'rating': '4.7', 'open_time': '24小时营业', 'ticket_ordering': '0'}"
B000A4D500,陶然亭公园,风景名胜;公园广场;公园,110101,太平街19号,"116.381921,39.874496",010-63511596,北京市,北京市,西城区,右安门,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/fbd8cdec8bcb57bc6379137a55e99f44'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/db751bcde6c0345545aefa2a4cb1a999'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/8f5c69aa00ceaae92d253c4d74c40358'}]",5916634021,"{'cost': [], 'opentime2': '4月至10月 周一至周日 06:00-22:00 最晚进入21:00；1月至3月,11月至12月 周一至周日 06:00-21:30 最晚进入21:00，2026年春节期间 06:00-21:00', 'rating': '4.8', 'open_time': [], 'ticket_ordering': '0'}"
B000A7XIYH,玉渊潭公园,风景名胜;风景名胜;国家级景点,110202,西三环中路10号,"116.319932,39.916620",010-88653800;010-88653775,北京市,北京市,海淀区,公主坟,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/cce8b8c1b74cf520d996e7df68135327'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/026042c885116a76baacbf0219ee1dab'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/7389167474bb93697b0e1a745bafc553'}]",5916629521,"{'cost': [], 'opentime2': '1月1日-5月31日,9月1日-12月31日:6:00-21:30,21:00停止入园,6月1日-8月31日:6:00-22:30,21:30停止入园', 'rating': '4.8', 'open_time': [], 'ticket_ordering': '0'}"
B000AA1A7J,霱公府(不对外开放),风景名胜;风景名胜;风景名胜,110200,西绒线胡同51号(西单地铁站D东南口步行480米),"116.376930,39.905022",[],北京市,北京市,西城区,西单,"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000AA1A7J/comment/605274cceb3084b2101420a5d3ae063e_2048_2048_80.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000AA1A7J/comment/5ebe7b32d3e5dc95b3228936bc38d584_2048_2048_80.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000AA1A7J/comment/E2186F0A_2F03_4B17_A5A8_A6C8638A2F52_L0_001_2016_151_1745219317418_75940885.jpg'}]",5916638010,"{'cost': [], 'opentime2': [], 'rating': '4.3', 'open_time': [], 'ticket_ordering': '0'}"
B0FFG6VF81,正阳门箭楼,风景名胜;风景名胜;风景名胜,110200,前门大街2号前门商业区A2地块,"116.397910,39.899368",010-63159185,北京市,北京市,东城区,[],"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0FFG6VF81/comment/content_media_external_file_1000049555_ss__1770363622025_56510683.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0FFG6VF81/comment/content_media_external_file_1000049431_ss__1770363622029_40230245.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0FFG6VF81/comment/content_media_external_file_1000013339_ss__1769000081688_32711679.jpg'}]",5916637122,"{'cost': [], 'opentime2': '周一关闭(法定节假日除外),周二至周日09:00-17:00', 'rating': '4.7', 'open_time': '09:00-17:00', 'ticket_ordering': '0'}"
B000A1FDA9,国子监,风景名胜;风景名胜;国家级景点,110202,国子监街13-15号,"116.413285,39.946777",010-64042407,北京市,北京市,东城区,东直门,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/e89fcb6fb60308f82af54c79941d0ea4'}, {'provider': [], 'title': '国子监', 'url': 'http://store.is.autonavi.com/showpic/d6c9a486ae33218b070fb51b01d02aad'}, {'provider': [], 'title': '国子监', 'url': 'http://store.is.autonavi.com/showpic/1139c50a0e28099dd683f6c7eea5430a'}]",5916733310,"{'cost': [], 'opentime2': '07-08至08-31 周一,周三至周日 09:00-17:00 最晚进入16:30；07-08至08-31 周二 全天关闭；01-05至02-28 周二至周日 09:00-17:00 最晚进入16:30；01-05至02-28 周一 全天关闭；17:00室内展厅关闭。', 'rating': '4.7', 'open_time': '09:00-17:00 09:00-17:00', 'ticket_ordering': '0'}"
B000A5F89F,莲花池公园,风景名胜;公园广场;公园,110101,西三环中路38号,"116.315327,39.893297",010-63982357;010-63972892,北京市,北京市,丰台区,公主坟,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/cb724c4bd21320a07aaeaffa2e46ac59'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/9326d42466932598791adba0aed71aee'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/aafe690a59875e55818f20424947f75d'}]",5916627500,"{'cost': [], 'opentime2': '4月至10月 周一至周日 06:00-22:00 最晚进入21:30；1月至3月,11月至12月 周一至周日 06:00-21:00 最晚进入20:30', 'rating': '4.7', 'open_time': [], 'ticket_ordering': '0'}"
B000A7JEXW,中央电视塔,风景名胜;风景名胜;国家级景点|科教文化服务;传媒机构;电视台,110202|141101,西三环中路11号(玉渊潭公园对面),"116.307016,39.918852",010-88416232,北京市,北京市,海淀区,公主坟,"[{'provider': [], 'title': '春季', 'url': 'http://store.is.autonavi.com/showpic/22693a6d51adc909b45d17bf3f79a827'}, {'provider': [], 'title': '夏季', 'url': 'http://store.is.autonavi.com/showpic/510fc8a68b06aec545258654cd6a6fdb'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/7639931194a4ff6ae0a3a53cdc1b110d'}]",5916720401,"{'cost': [], 'opentime2': '周一至周日 08:30-22:00 最晚进入21:30', 'rating': '4.7', 'open_time': '08:30-22:00', 'ticket_ordering': '0'}"
B0J6BZNC6H,故宫博物院-西北角楼,风景名胜;风景名胜;风景名胜,110200,景山前街4号故宫博物院(西北角),"116.392575,39.922150",4009501925,北京市,北京市,东城区,[],"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0J6BZNC6H/comment/content_media_external_file_1000105727_ss__1763270922421_92563117.jpg'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/21dc3a13e4b6c49654b6b9f7768b382b'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0J6BZNC6H/comment/content_media_external_images_media_1000004225_ss__1731594646105_56488285.jpg'}]",5916730111,"{'cost': [], 'opentime2': [], 'rating': [], 'open_time': [], 'ticket_ordering': '0'}"
